,length_x,width_y,height_z,aspect_ratio
piece17.PLY,35.221757888793945,30.00038480758667,34.663302421569824,1.1740435369311284
piece3.PLY,585.0566101074219,515.3115844726562,436.94296646118164,1.3389770634044496
piece14.PLY,53.28103256225586,38.5377779006958,32.586873054504395,1.6350458809944322
piece12.PLY,65.54575157165527,62.94516372680664,37.35835647583008,1.754513789011616
piece15.PLY,29.59160327911377,16.67474252730608,15.803651809692383,1.872453508559663
piece2.PLY,611.849967956543,406.7855529785156,326.0762138366699,1.876401718351084
piece1.PLY,643.3834533691406,357.5332260131836,333.72690200805664,1.9278741075348143
piece7.PLY,402.79390716552734,499.4765090942383,240.33319091796875,2.078266872696419
piece16.PLY,83.86581039428711,71.50408935546875,36.583696365356445,2.292436760810897
piece4.PLY,595.5165710449219,392.80159759521484,254.16442489624023,2.3430366829977674
piece5.PLY,671.486572265625,653.7945785522461,241.8720679283142,2.776205528885789
piece6.PLY,65.1663703918457,23.274192810058594,34.10854744911194,2.799941159019798
piece13.PLY,65.1663703918457,23.274192810058594,34.10854744911194,2.799941159019798
piece8.PLY,448.91783142089844,379.19166564941406,146.51720809936523,3.0639256456241695
piece11.PLY,204.97673797607422,671.2831344604492,241.55054473876953,3.2749234917515584
piece10.PLY,583.8195495605469,135.18316268920898,143.79409408569336,4.318729773342922
piece9.PLY,738.3752899169922,189.1980438232422,164.39654636383057,4.491428234038891
